symboling,aspiration,doornumber,carbody,drivewheel,wheelbase,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,price,fabricante,volumen,mpgpromedio
3,std,two,convertible,rwd,88.6,2548,dohc,4,130,mpfi,3.47,111,13495.0,alfa-romero,528019.904,24.0
3,std,two,convertible,rwd,88.6,2548,dohc,4,130,mpfi,3.47,111,16500.0,alfa-romero,528019.904,24.0
1,std,two,hatchback,rwd,94.5,2823,ohcv,6,152,mpfi,2.68,154,16500.0,alfa-romero,587592.6399999999,22.5
2,std,four,sedan,fwd,99.8,2337,ohc,4,109,mpfi,3.19,102,13950.0,audi,634816.956,27.0
2,std,four,sedan,4wd,99.4,2824,ohc,5,136,mpfi,3.19,115,17450.0,audi,636734.8319999999,20.0
2,std,two,sedan,fwd,99.8,2507,ohc,5,136,mpfi,3.19,110,15250.0,audi,624189.969,22.0
1,std,four,sedan,fwd,105.8,2844,ohc,5,136,mpfi,3.19,110,17710.0,audi,766364.0460000001,22.0
1,std,four,wagon,fwd,105.8,2954,ohc,5,136,mpfi,3.19,110,18920.0,audi,766364.0460000001,22.0
1,turbo,four,sedan,fwd,105.8,3086,ohc,5,131,mpfi,3.13,140,23875.0,audi,769115.802,18.5
0,turbo,two,hatchback,4wd,99.5,3053,ohc,5,131,mpfi,3.13,160,17859.167,audi,629188.56,19.0
2,std,two,sedan,rwd,101.2,2395,ohc,4,108,mpfi,3.5,101,16430.0,bmw,622095.5519999999,26.0
0,std,four,sedan,rwd,101.2,2395,ohc,4,108,mpfi,3.5,101,16925.0,bmw,622095.5519999999,26.0
0,std,two,sedan,rwd,101.2,2710,ohc,6,164,mpfi,3.31,121,20970.0,bmw,622095.5519999999,24.5
0,std,four,sedan,rwd,101.2,2765,ohc,6,164,mpfi,3.31,121,21105.0,bmw,622095.5519999999,24.5
1,std,four,sedan,rwd,103.5,3055,ohc,6,164,mpfi,3.31,121,24565.0,bmw,704276.3700000001,22.5
0,std,four,sedan,rwd,103.5,3230,ohc,6,209,mpfi,3.62,182,30760.0,bmw,704276.3700000001,19.0
0,std,two,sedan,rwd,103.5,3380,ohc,6,209,mpfi,3.62,182,41315.0,bmw,706639.3740000002,19.0
0,std,four,sedan,rwd,110.0,3505,ohc,6,209,mpfi,3.62,182,36880.0,bmw,786358.99,17.5
2,std,two,hatchback,fwd,88.4,1488,l,3,61,2bbl,2.91,48,5151.0,chevrolet,452643.156,50.0
1,std,two,hatchback,fwd,94.5,1874,ohc,4,90,2bbl,3.03,70,6295.0,chevrolet,515592.48,40.5
0,std,four,sedan,fwd,94.5,1909,ohc,4,90,2bbl,3.03,70,6575.0,chevrolet,525183.36,40.5
1,std,two,hatchback,fwd,93.7,1876,ohc,4,90,2bbl,2.97,68,5572.0,dodge,509815.59199999995,39.0
1,std,two,hatchback,fwd,93.7,1876,ohc,4,90,2bbl,2.97,68,6377.0,dodge,509815.59199999995,34.5
1,turbo,two,hatchback,fwd,93.7,2128,ohc,4,98,mpfi,3.03,102,7957.0,dodge,509815.59199999995,27.0
1,std,four,hatchback,fwd,93.7,1967,ohc,4,90,2bbl,2.97,68,6229.0,dodge,507808.444,34.5
1,std,four,sedan,fwd,93.7,1989,ohc,4,90,2bbl,2.97,68,6692.0,dodge,507808.444,34.5
1,std,four,sedan,fwd,93.7,1989,ohc,4,90,2bbl,2.97,68,7609.0,dodge,507808.444,34.5
1,turbo,two,sedan,fwd,93.7,2191,ohc,4,98,mpfi,3.03,102,8558.0,dodge,507808.444,27.0
-1,std,four,wagon,fwd,103.3,2535,ohc,4,122,2bbl,3.34,88,8921.0,dodge,674493.7679999998,27.0
3,turbo,two,hatchback,fwd,95.9,2811,ohc,4,156,mfi,3.6,145,12964.0,dodge,576454.632,21.5
2,std,two,hatchback,fwd,86.6,1713,ohc,4,92,1bbl,2.91,58,6479.0,honda,469388.95199999993,51.5
2,std,two,hatchback,fwd,86.6,1819,ohc,4,92,1bbl,2.91,76,6855.0,honda,469388.95199999993,34.5
1,std,two,hatchback,fwd,93.7,1837,ohc,4,79,1bbl,2.91,60,5399.0,honda,504960.0,40.0
1,std,two,hatchback,fwd,93.7,1940,ohc,4,92,1bbl,2.91,76,6529.0,honda,504960.0,32.0
1,std,two,hatchback,fwd,93.7,1956,ohc,4,92,1bbl,2.91,76,7129.0,honda,504960.0,32.0
0,std,four,sedan,fwd,96.5,2010,ohc,4,92,1bbl,2.91,76,7295.0,honda,569939.2000000001,32.0
0,std,four,wagon,fwd,96.5,2024,ohc,4,92,1bbl,2.92,76,7295.0,honda,585255.6269999999,32.0
0,std,two,hatchback,fwd,96.5,2236,ohc,4,110,1bbl,3.15,86,7895.0,honda,582089.2999999999,30.0
0,std,two,hatchback,fwd,96.5,2289,ohc,4,110,1bbl,3.15,86,9095.0,honda,582089.2999999999,30.0
0,std,four,sedan,fwd,96.5,2304,ohc,4,110,1bbl,3.15,86,8845.0,honda,618691.9280000001,30.0
